t,vx_cmd,vy_cmd,wz_cmd,lin_vx,lin_vy,lin_vz,gyro_x,gyro_y,gyro_z,projg_x,projg_y,projg_z,jpos_hip_yaw_l,jpos_hip_roll_l,jpos_hip_pitch_l,jpos_knee_pitch_l,jpos_ankle_pitch_l,jpos_hip_yaw_r,jpos_hip_roll_r,jpos_hip_pitch_r,jpos_knee_pitch_r,jpos_ankle_pitch_r,jvel_hip_yaw_l,jvel_hip_roll_l,jvel_hip_pitch_l,jvel_knee_pitch_l,jvel_ankle_pitch_l,jvel_hip_yaw_r,jvel_hip_roll_r,jvel_hip_pitch_r,jvel_knee_pitch_r,jvel_ankle_pitch_r,jtgt_hip_yaw_l,jtgt_hip_roll_l,jtgt_hip_pitch_l,jtgt_knee_pitch_l,jtgt_ankle_pitch_l,jtgt_hip_yaw_r,jtgt_hip_roll_r,jtgt_hip_pitch_r,jtgt_knee_pitch_r,jtgt_ankle_pitch_r,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,gait_phase,infer_ms
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,-0.0029,0.0042,-0.2021,0.0039,-0.9794,0.3964,-0.1013,-1.4835,0.9826,-1.3567,-0.3976,0.1030,1.4793,-0.9877,1.2444,-0.0543,0.0698,-0.0233,0.0116,0.0388,0.0155,0.0271,0.0116,-0.0465,-0.0194,0.5000,-0.2000,-1.3279,1.1020,-1.2860,-0.3474,0.2000,1.6397,-1.0624,1.1994,11.5083,-1.5171,-0.2756,0.9675,0.8392,0.5255,1.3397,-0.2739,-0.4913,-0.2449,0.0278,0.67
0.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0550,-0.0178,-0.0588,-0.2024,0.0062,-0.9793,0.4070,-0.1137,-1.4682,0.9913,-1.3549,-0.3916,0.1134,1.4956,-0.9958,1.2333,0.7445,-0.9693,0.9383,0.4653,0.1280,0.4032,0.9073,1.0818,-0.7871,-1.0702,0.5000,-0.1084,-1.3427,1.0405,-1.2627,-0.3628,0.2000,1.5874,-0.9083,1.2943,34.1431,-0.0845,-0.2197,0.3020,1.0841,0.3723,2.8629,-1.4362,1.7960,0.8044,0.0556,0.22
0.0480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0274,-0.4545,-0.8138,-0.2095,0.0048,-0.9778,0.4234,-0.1227,-1.4511,0.9932,-1.3453,-0.3845,0.1331,1.5087,-1.0005,1.2249,0.6630,0.2637,0.7057,-0.1318,0.5583,0.2986,0.7561,-0.0582,0.5196,0.1822,0.5000,-0.2000,-1.2411,0.9152,-1.2839,-0.3000,0.2000,1.6078,-0.9031,1.3038,53.4547,-1.3165,1.2694,-1.2150,0.7170,1.3701,3.4753,-1.1579,4.5801,2.6777,0.0833,0.22
0.0720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1697,-0.3297,-1.2051,-0.2215,-0.0016,-0.9752,0.4368,-0.1316,-1.4199,0.9758,-1.3383,-0.3703,0.1472,1.5074,-0.9895,1.2253,0.4924,-0.7794,1.6634,-1.3067,0.2559,0.6747,0.4381,0.0620,0.4653,-0.0427,0.5000,-0.2000,-1.2615,0.9198,-1.2485,-0.3000,0.2000,1.6078,-0.9209,1.3562,69.6101,-1.6436,1.8183,-2.0343,1.4547,1.5482,4.3815,-1.6687,6.9811,3.4817,0.1111,0.22
0.0960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4302,0.0884,-1.7515,-0.2201,-0.0013,-0.9755,0.4499,-0.1493,-1.3885,0.9485,-1.3317,-0.3503,0.1594,1.5110,-0.9802,1.2276,0.5351,-0.6436,1.1632,-0.9538,0.3567,0.6863,0.3839,0.3296,0.4537,0.2055,0.5000,-0.2000,-1.2819,0.9239,-1.2414,-0.3000,0.2000,1.5772,-0.9722,1.3689,82.3446,-2.0676,2.4390,-2.7815,2.3058,1.4862,5.0102,-1.9131,8.6313,4.1208,0.1389,0.20
0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3590,0.0847,-1.5882,-0.2183,-0.0005,-0.9759,0.4597,-0.1626,-1.3654,0.9322,-1.3229,-0.3360,0.1691,1.5146,-0.9758,1.2333,0.3218,-0.4149,0.8491,-0.4769,0.4537,0.5661,0.2947,0.0465,-0.0969,0.3102,0.5000,-0.2000,-1.3022,0.9276,-1.2342,-0.3000,0.2000,1.5467,-1.0200,1.3813,92.2489,-2.4832,3.0114,-3.5442,3.0586,1.2454,5.4248,-2.0531,9.9972,4.7144,0.1667,0.20
0.1440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3874,0.0163,-1.4668,-0.2175,0.0002,-0.9761,0.4682,-0.1739,-1.3473,0.9237,-1.3103,-0.3258,0.1762,1.5176,-0.9792,1.2446,0.3024,-0.4149,0.6204,-0.2016,0.5894,0.3528,0.2443,0.0310,-0.3179,0.5467,0.5000,-0.2000,-1.3226,0.9306,-1.2271,-0.3013,0.2000,1.5161,-1.0621,1.3931,99.9846,-2.9671,3.4860,-4.1715,3.7018,0.9866,5.6767,-2.1593,11.0944,5.2085,0.1944,0.19
0.1680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3181,-0.1929,-1.1807,-0.2212,0.0017,-0.9752,0.4751,-0.1829,-1.3355,0.9214,-1.2992,-0.3185,0.1821,1.5185,-0.9887,1.2572,0.2326,-0.2559,0.3994,0.0620,0.4188,0.2443,0.1784,-0.0116,-0.4614,0.5234,0.5000,-0.2000,-1.3430,0.9331,-1.2200,-0.3251,0.2000,1.4856,-1.0966,1.4039,105.9325,-3.3324,3.8531,-4.6957,4.1784,0.7491,5.8758,-2.2423,11.9592,5.6070,0.2222,0.18
0.1930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1820,-0.3412,-0.7279,-0.2299,0.0009,-0.9732,0.4811,-0.1896,-1.3270,0.9234,-1.2897,-0.3166,0.1873,1.5150,-1.0032,1.2693,0.2830,-0.2171,0.3218,0.2830,0.3761,-0.0349,0.1939,-0.1512,-0.6669,0.5390,0.5000,-0.2000,-1.3633,0.9348,-1.2128,-0.3444,0.2000,1.4550,-1.1217,1.4136,110.4384,-3.6598,4.1669,-5.1421,4.5485,0.5557,5.9842,-2.2821,12.5999,5.9459,0.2500,0.17
0.2180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0815,-0.3392,-0.1160,-0.2381,0.0001,-0.9712,0.4862,-0.1943,-1.3214,0.9284,-1.2814,-0.3186,0.1907,1.5074,-1.0197,1.2833,0.2404,-0.1241,0.1435,0.2520,0.3024,-0.2055,0.0698,-0.3102,-0.6785,0.5622,0.5000,-0.2000,-1.3837,0.9358,-1.2057,-0.3611,0.2000,1.4244,-1.1364,1.4221,113.7959,-3.9825,4.4425,-5.5290,4.8385,0.3892,6.0445,-2.2857,13.0469,6.2398,0.2778,0.17
